Fujifilm Instax Mini Instant Film Twin Pack (White),13.12,37,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\813oF-FY01L._AC_UL320_.jpg
SAMSUNG: EVO Select 128GB MicroSDXC UHS-I U3 100MB/s Full HD & 4K UHD Memory Card with Adapter (MB-ME128HA),25.67,53,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\81axmUuRHrL._AC_UL320_.jpg
"SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 160MB/s, C10, U3, V30, 4K, A2, Micro SD - SDSQXA1-128G-GN6MA",21.99,99,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\815cRpgAN3L._AC_UL320_.jpg
"DJI Mini 2 Fly More Combo – Ultralight Foldable Drone, 3-Axis Gimbal with 4K Camera, 12MP Photos, 31 Mins Flight Time, OcuSync 2.0 10km HD Video Transmission, QuickShots, Gray",599.0,33,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\71wfsfmD-UL._AC_UL320_.jpg
"SanDisk 128GB Extreme PRO SDXC UHS-I Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXY-128G-GN4IN",32.9,131,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\61ao4RlOuCL._AC_UL320_.jpg
"Neewer Ring Light Kit:18""/48cm Outer 55W 5500K Dimmable LED Ring Light, Light Stand, Carrying Bag for Camera,Smartphone,YouTube,TikTok,Self-Portrait Shooting, Black, Model:10088612",245.94,68,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\71+JKKAnfoL._AC_UL320_.jpg
"GoPro HERO9 Black - Waterproof Action Camera with Front LCD and Touch Rear Screens, 5K Ultra HD Video, 20MP Photos, 1080p Live Streaming, Webcam, Stabilization",399.99,166,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\71f8wMHfklL._AC_UL320_.jpg
"Rotolight NEO 2 LED Camera Light - 3 Light Kit, Continuous Adjustable Color with Built in High-Speed Sync Flash",799.0,76,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\51jsNTLi80L._AC_UL320_.jpg
"Inkeltech Ring Light - 18 inch 60 W Dimmable LED Ring Light Kit with Stand - Adjustable 3000-6000 K Color Temperature Lighting for Vlog, Makeup, YouTube, Camera, Photo, Video - Control with Remote",79.95,49,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\71clENHW9aL._AC_UL320_.jpg
"KODAK Printomatic Digital Instant Print Camera - Full Color Prints On ZINK 2x3"" Sticky-Backed Photo Paper (Blue) Print Memories Instantly",49.99,121,1,2,C:\Users\Yakup Bilen\PycharmProjects\database\scraping\images\61cJEZaFIAL._AC_UL320_.jpg
